Name,Interests,Department
Timothy Hampton,culture~politics~English~comparative literature~French~renaissance and early modern European culture~the romance languages~the ideology of literary genre~the literary construction of nationhood~the rhetoric of historiography,Department of Comparative Literature~Department of French
Ting Xu,polymer~nanocomposite~biomaterial~membrane~directed self-assembly~drug delivery~protein therapeutics~block copolymers~nanoparticles,Department of Chemistry~Department of Materials Science and Engineering
Tony M. Keaveny,biomechanics of bone~orthopaedic biomechanics~design of artificial joints~osteoporosis~finite element modeling~clinical biomechanics,Department of Bioengineering~Department of Mechanical Engineering
Trond Petersen,inequality~comparative gender inequality~hiring~promotions~wages~quantitative methods~social stratification~economic sociology~comparative studies~and quantitative methods,Department of Sociology~Haas School of Business
Victoria Kahn,rhetoric~comparative literature~Renaissance literature~poetics~early modern political theory~the Frankfurt School,Department of Comparative Literature~Department of English
Vinod K. Aggarwal,political science~negotiations~trade policy~international organizations~international debt rescheduling,Department of Political Science~Haas School of Business
Yun S. Song,computational biology~population genomics~applied probability and statistics,Department of Statistics~Division of Computer Science/EECS
Zac Cande,genetics~cell biology~microbial biology~plant biology,Department of Molecular &amp; Cell Biology~Department of Plant and Microbial Biology
Zachary Pardos,Education Data Science~Learning Analytics~Big Data in Education~data mining~Data Privacy and Ethics~Computational Psychometrics~Digital Learning Environments~Cognitive Modeling~Bayesian Knowledge Tracing~Formative Assessment~Learning Maps~machine learning,Graduate School of Education~School of Information
john powell,Civil rights and civil liberties~structural racialization~racial justice and regionalism~concentrated poverty and urban sprawl~opportunity based housing~voting rights~affirmative action in the United States~South Africa and Brazil~racial and ethnic identity~spirituality and social justice~and the needs of citizens in a democratic society,Boalt Hall School of Law~Department of African American Studies~Department of Ethnic Studies
